what team did  e1  play for	sports pro_athlete teams sports sports_team_roster team
what are the best hotels to stay in  e1 	travel travel_destination accommodation
who played  e1  on general hospital	tv tv_character appeared_in_tv_program tv regular_tv_appearance actor
what political party did  e1  belong to	government politician party government political_party_tenure party
what are  e1  people considered	base aareas schema administrative_area adjectival_form
who plays  e1 	film film_character portrayed_in_films film performance actor
where did  e1  live	people person nationality
who do  e1  play for	sports pro_athlete teams basketball basketball_roster_position team
what technique did  e1  use in his paintings	visual_art visual_artist associated_periods_or_movements
where are  e1  headquarters located	organization organization headquarters location mailing_address state_province_region
where  e1  located	location location containedby
what island is  e1  from	people person place_of_birth
what 3 countries does  e1  border	location statistical_region places_exported_to location imports_and_exports exported_to
who does  e1  play for in the nba	basketball basketball_player team sports sports_team_roster team
where is  e1  located	language human_language countries_spoken_in
who did  e1   s voice	tv tv_program program_creator
what subatomic particles did  e1  discover	base nobelprizes nobel_prize_winner nobel_honor base nobelprizes nobel_honor subject_area
what did baron de  e1  die from	people deceased_person cause_of_death
what is a judge in the  e1  called	government governmental_body offices_positions
what team does  e1  play for 2012	basketball basketball_player former_teams sports sports_team_roster team
what movies does  e1  star in	film actor film film performance film
what is the capital city of  e1 	location location containedby
what teams did  e1  play for in the nba	sports pro_athlete teams sports sports_team_roster team
where is  e1   s home	people deceased_person place_of_burial
what do people from  e1  speak	location country official_language
what countries are in the  e1  region	location location partially_containedby
where did  e1  go to jail	base prison prisoner imprisoned base prison imprisonment prison
what did  e1  look like	people person gender
what do  e1  religions have in common	religion religion practices
what city was  e1  born in	people person place_of_birth
what team does  e1  play for now	basketball basketball_player former_teams basketball basketball_historical_roster_position team
what the currency in  e1 	location country currency_used
what is the zip code for  e1 	location citytown postal_codes
what college did  e1  go to	people person education education education institution
what timezone is  e1  gmt	location location time_zones
who did  e1  play for	sports pro_athlete teams american_football football_historical_roster_position team
which  e1  died first	visual_art art_subject artwork_on_the_subject
who was  e1  married too	people person spouse_s people marriage spouse
what teams did  e1  play 4	basketball basketball_player former_teams basketball basketball_historical_roster_position team
when  e1  got drafted	sports drafted_athlete drafted sports sports_league_draft_pick draft
where did  e1 	meteorology tropical_cyclone affected_areas
what do people in the  e1  speak	location country official_language
what movies does  e1  play in	award award_nominee award_nominations award award_nomination nominated_for
what are american  e1  terriers	biology organism_classification higher_classification
where is hong kong  e1 	location location containedby
where are  e1  appliances made	base schemastaging organization_extra phone_number base schemastaging phone_sandbox service_location
what is the state flag of  e1  called	symbols flag_referent flag symbols flag_use flag
where did  e1  live	people person places_lived people place_lived location
what position does  e1  play	sports pro_athlete teams sports sports_team_roster position
who played  e1   s mother in star wars	fictional_universe fictional_character parents
what was the colosseum in  e1  used for	film film_subject films
what team does  e1  currently play for	base schemastaging athlete_extra salary base schemastaging athlete_salary team
what county is  e1 	location capital_of_administrative_division capital_of location administrative_division_capital_relationship administrative_division
when is  e1  tennis tournament	time recurring_event current_frequency
what medium is the school of  e1 	symbols name_source namesakes
who does  e1  play for	american_football football_player current_team sports sports_team_roster team
who  s  e1 	people person profession
where did the  e1  earthquake occur	user robert earthquakes earthquake affected_locations user robert earthquakes earthquake_effect affected_area
what was  e1  known for	people person profession
when did the  e1  start playing baseball	sports sports_team founded
what was  e1  job	people person profession
who did  e1  sign with 2012	sports pro_athlete teams american_football football_historical_roster_position team
what kind of language do  e1  speak	location country official_language
what team does  e1  play 4	american_football football_player former_teams sports sports_team_roster team
what are  e1  people considered	location location adjectival_form
who was  e1  in real life	government politician government_positions_held government government_position_held office_position_or_title
what movie does  e1  play in	award award_nominee award_nominations award award_nomination nominated_for
what did  e1  do for a living	people person profession
who does  e1  play for	american_football football_player former_teams american_football football_historical_roster_position team
where was  e1  born	people person places_lived people place_lived location
what country  e1  was born	people person place_of_birth
who was the  e1  coach in 2011	american_football football_team historical_coaching_staff american_football football_historical_coach_position coach
who shot  e1 	user alexander misc murdered_person murdered_by
who is  e1  married too	people person spouse_s people marriage spouse
in what country is  e1 	base biblioness bibs_location country
what teams did  e1  play 4	basketball basketball_player former_teams sports sports_team_roster team
what does  e1  consist of	location location contains
who was the wife of  e1 	base famouspets pet_owner pets_owned base famouspets pet_ownership owner
what influenced  e1  artwork	influence influence_node influenced_by
where did  e1  went to school	people person education education education institution
where is  e1  from where was he born	people person place_of_birth
where is  e1  made	people deceased_person place_of_death
what is  e1  of spain in 2010	base aareas schema administrative_area administrative_parent
what kind of alcohol is  e1 	dataworld gardening_hint split_to
where is she from  e1 	music artist origin
what is the postcode for  e1  south korea	location citytown postal_codes
what is the capital city of  e1 	location country capital
what are the different sports in the  e1 	sports sports_team_location teams
what kind of system of government does the  e1  have	location country form_of_government
what county is  e1  located in	geography river mouth
what  e1  is south africa part of	base skosbase vocabulary_equivalent_topic equivalent_concept
where  e1  go to school	people person employment_history business employment_tenure company
in which country is  e1  found	location location partially_containedby
what are dollars called in  e1 	location country currency_formerly_used
what does  e1  sound like	language human_language language_family
who played elaine  s boyfriend on  e1 	fictional_universe fictional_character character_created_by
what place did  e1  died	people person places_lived people place_lived location
where are  e1  microwaves made	organization organization headquarters location mailing_address state_province_region
where is  e1  florida	location location containedby
what does the  e1  speak	location country official_language
where did the founder of  e1  go to college	organization organization place_founded
who started  e1 	organization organization board_members organization organization_board_membership member
who taught  e1  to sculpt	influence influence_node influenced_by
where did  e1  come from	people person nationality
where does  e1  play	soccer football_player current_team sports sports_team_roster team
where is the  e1  situated	location location containedby
where did  e1  tornado hit	user dylanrocks national_football_league nfl_teams_that_have_moved_cities destination_city
what team does  e1  play for 2011 season	american_football football_player games american_football player_game_statistics team
what book did  e1  wrote about the people in the dust bowl	award award_winner awards_won award award_honor honored_for
who was  e1  accomplice	base argumentmaps decision_maker motivation base argumentmaps motivation decision_making_person_or_group
where is wellsville  e1 	organization organization headquarters location mailing_address state_province_region
who does  e1  play for	sports pro_athlete teams american_football football_historical_roster_position team
what money do  e1  use	location country currency_used
what is currency in  e1 	location statistical_region external_debt_stock measurement_unit dated_money_value currency
where is the sistine chapel by  e1 	people deceased_person place_of_death
where does the  e1  begin	geography river origin
who did  e1  play for before celtics	sports sports_award_winner awards sports sports_award team
what is  e1  in	tv tv_actor starring_roles tv regular_tv_appearance series
who drafted  e1 	sports drafted_athlete drafted sports sports_league_draft_pick team
where is  e1  now	sports pro_athlete teams sports sports_team_roster team
who does  e1  play for	base schemastaging athlete_extra salary base schemastaging athlete_salary team
where did  e1  terriers come from	location administrative_division country
what did  e1  contribute to our understanding of cells	book author works_written
what movies does  e1  play in	film actor film film performance film
what team did  e1  play for first	sports pro_athlete teams basketball basketball_roster_position team
what was the cause of death for  e1 	people deceased_person cause_of_death
what professional baseball team did  e1  play for	sports pro_athlete teams sports sports_team_roster team
what influenced  e1  work	influence influence_node influenced_by
where is hong kong  e1 	base locations countries continent
where is  e1 	location location containedby
where are the headquarters of the united nations  e1  found	organization organization headquarters location mailing_address citytown
where did  e1  live	people person places_lived people place_lived location
what are the main languages spoken in  e1 	location country official_language
where is  e1  uk	location location containedby
what teams drafted the  e1 	basketball basketball_player team basketball basketball_roster_position team
where does  e1  live	people person nationality
what money do they use in  e1 	location country currency_used
what language is spoken in  e1 	location country languages_spoken
